"","fips","cnsar_nc89_93_res","cnsar93_res","cnsar_cp89_92_res","br89_93_res","br89_92_res","br93_res","cnsar_fh","br_fh","ntdr","cnsar_brfd","qt","mean","median","top40","top30","top20","mean_fh","mean93_res","median_fh","median93_res"
"1",1,0.838468207783126,0.667022411953042,0.859006987921962,280273,250289,29984,0.799738752007678,150049,0.396042430059264,1.20737984452337,3,0,0,0,0,0,0,0,0,0
"2",2,1.14521300961979,0.182781941144215,1.25743270603781,52392,46921,5471,1.17953165654814,28825,0.381737669873263,1.29181785368263,4,1,1,1,1,0,1,0,1,0
"3",4,0.480614132689003,0.364143958244826,0.494786281865714,303778,270824,32954,0.483828491986208,163281,0.237015188723344,NA,1,0,0,0,0,0,0,0,0,0
"4",5,1.09476348679006,1.33083298046095,1.06718306076583,158025,141494,16531,1.13181471597408,83936,0.348046195222275,1.48830082515919,4,1,1,1,1,0,1,1,1,1
"5",6,0.607435307205267,0.4644044540609,0.624438768404318,2675182,2390947,284235,0.597567857227036,1442514,0.232881351623927,0.826731863918077,1,0,0,0,0,0,0,0,0,0
"6",8,0.786399041342121,0.516186121967407,0.820771619124448,240336,213214,27122,0.741084528550469,133588,0.245489647826376,1.00531201906369,2,0,0,0,0,0,0,0,0,0
"7",9,0.909807338685392,1.22713074520303,0.868627351627591,156077,138149,17928,1.01385992603431,86797,0.563824266227567,NA,3,0,0,0,0,0,0,1,1,1
"8",10,1.09350499298506,1.92678227360308,0.993576412958085,48468,43278,5190,1.2512797178933,26373,0.639597260047867,NA,4,1,1,1,0,0,1,1,1,1
"9",11,0.821813890761969,1.59457843332669,0.730460189919649,47456,42439,5017,0.964901700639247,24873,0.421443020903574,NA,3,0,0,0,0,0,0,1,1,1
"10",12,0.638195294697083,0.681641132173461,0.632997417525873,864939,772515,92424,0.643196470621246,463311,0.320253798244732,0.913310118122207,2,0,0,0,0,0,0,0,0,0
"11",13,0.705853962635993,0.711943793911007,0.70512170670992,497270,443895,53375,0.795458789259439,267770,0.363987371045911,1.07274718427185,2,0,0,0,0,0,0,0,0,0
"12",15,0.774741191529496,0.73870831574504,0.779031487950142,89062,79586,9476,0.686841776630729,48046,0.291931463474883,NA,2,0,0,0,0,0,0,0,0,0
"13",16,1.23595505617978,1.09342728708541,1.25458558973463,71200,62969,8231,1.21328547596178,39562,0.337078651685393,1.68834068203382,5,1,1,1,1,1,1,1,1,1
"14",17,0.803690813742876,0.804471166059785,0.803592405117362,843608,749136,94472,0.883292532597184,460776,0.379323097931741,1.02131328873481,2,0,0,0,0,0,0,0,0,0
"15",18,1.86537221937198,1.58967194951587,1.89918095975095,380085,338567,41518,1.93525346511718,207208,0.923477643158767,2.25508308269596,5,1,1,1,1,1,1,1,1,1
"16",19,1.27716125023731,1.05624504885133,1.30416817313155,173823,154888,18935,1.30093583448739,95316,0.42572041674577,1.62359007780655,5,1,1,1,1,1,1,1,1,1
"17",20,1.33183015660687,0.968262506724045,1.37611973552289,171193,152603,18590,1.13296280461736,93560,0.771059564351346,1.63322716388069,5,1,1,1,1,1,1,0,1,1
"18",21,1.16390494484578,0.931136391239221,1.1921114599686,228541,203840,24701,1.20909172056186,123233,0.503191987433327,1.40154169586545,4,1,1,1,1,0,1,0,1,1
"19",22,0.904659399774643,1.09203421707213,0.875881122432341,247607,214641,32966,0.840173685462765,134496,0.45636835792203,NA,3,0,0,0,0,0,0,1,0,1
"20",23,0.892726279463298,0.917190775681342,0.889956837093401,75051,67419,7632,0.962186086789185,41572,0.373079639178692,1.04807896412651,3,0,0,0,0,0,0,0,1,1
"21",24,1.11370234638999,1.1481997867629,1.1091727509638,210110,185724,24386,1.0934890048389,116142,0.590167055351958,NA,4,1,1,1,1,0,1,1,1,1
"22",25,1.11082070047047,0.995189915408857,1.12453999285917,397904,355701,42203,1.17966261649168,220402,0.361896336804857,NA,4,1,1,1,1,0,1,0,1,1
"23",26,0.973045379298144,0.821320343255261,0.99209524114315,633064,562446,70618,1.00492441594137,349280,0.334879253914296,1.27730173543358,4,0,1,1,0,0,0,0,1,1
"24",27,1.38183973622791,1.4201663623453,1.37712393283296,269930,240356,29574,1.31027253668763,148824,0.603860260067425,1.73469801154256,5,1,1,1,1,1,1,1,1,1
"25",28,0.972132209980557,0.696933492632417,1.00441475321763,191332,171244,20088,0.930997256529361,100967,0.418121380636799,1.22073595895017,4,0,1,1,0,0,0,0,0,0
"26",29,1.02903070467105,0.941720927729645,1.03944101172258,348872,311706,37166,1.11360925509569,189474,0.515948542732005,1.27885250757628,4,0,1,1,0,0,1,0,1,1
"27",30,0.86628421822662,0.700402731570653,0.886774088893695,51946,46235,5711,1.10189043077029,29041,0.269510645670504,NA,3,0,0,0,0,0,1,0,1,0
"28",31,1.92095279258512,1.73160173160173,1.95143709403139,83292,71742,11550,1.8349397844473,47413,0.576285837775537,NA,5,1,1,1,1,1,1,1,1,1
"29",32,0.645369474023879,0.837365091179754,0.621183530432133,96069,85321,10748,0.611924886220216,52294,0.24982044155763,0.921697165522312,2,0,0,0,0,0,0,0,0,1
"30",33,0.92899800928998,0.644246875402654,0.961694950361745,75350,67589,7761,0.930010730893049,41935,0.358327803583278,1.10915981144283,3,0,0,0,0,0,0,0,0,0
"31",34,1.47792808557907,1.30906044368422,1.49858147095805,525736,468443,57293,1.48997808245698,289266,0.526880411461266,1.81364769893448,5,1,1,1,1,1,1,1,1,1
"32",36,1.22176066819202,1.22176066819202,NA,45017,0,45017,1.22176066819202,45017,0.51091809760757,NA,5,1,1,1,1,1,1,1,1,1
"33",37,0.623930327780065,0.588175641415678,0.628206216573487,461590,412285,49305,0.628963572192599,249617,0.296800190645378,0.852738321029128,1,0,0,0,0,0,0,0,0,0
"34",38,1.41190458497436,1.40679953106682,1.41250761646264,40371,36106,4265,1.38467035912096,22388,0.718337420425553,2.0190082237652,5,1,1,1,1,1,1,1,1,1
"35",39,0.965055477097602,0.856401601974761,0.97820075056338,735709,656307,79402,1.01626520060084,403438,0.455343077222108,1.2826276855861,3,0,1,1,0,0,0,0,1,1
"36",40,1.1362332147366,1.27512295828526,1.1038621021497,87130,70661,16469,1.0760050865695,51115,0.608286468495352,NA,4,1,1,1,1,0,1,1,1,1
"37",41,1.00909772926595,0.821216366359113,1.03216927576122,189278,168577,20701,1.06494247408957,105170,0.575872526125593,1.28178188695104,4,0,1,1,0,0,1,0,1,0
"38",42,0.937868867174992,0.953731474393565,0.935972856787153,746373,666686,79687,0.96164641676877,409714,0.376487359537389,1.51843760203662,3,0,1,0,0,0,0,0,1,1
"39",44,1.32515523247009,1.37244810430606,1.31928928609427,52824,46995,5829,1.54029265560456,28566,0.18930789035287,NA,5,1,1,1,1,1,1,1,1,1
"40",45,0.759146937976913,0.64789054460917,0.771877493883852,255550,229311,26239,0.782403954430454,136758,0.35609469771082,1.03162490582076,2,0,0,0,0,0,0,0,0,0
"41",46,1.39747607351571,1.15629215648487,1.42724612859488,47228,42039,5189,1.51550477966892,25734,0.550520877445583,1.62037037037037,5,1,1,1,1,1,1,1,1,1
"42",47,1.15165125575447,0.705537054806118,1.20532243223881,329961,294527,35434,0.989375456742931,177890,0.351556699125048,1.32931824964054,4,1,1,1,1,0,0,0,1,0
"43",48,1.5073046636301,1.14812822295994,1.5619803593953,1153715,1001293,152422,1.57442723860699,590691,0.90143579653554,1.79056589127229,5,1,1,1,1,1,1,1,1,1
"44",49,0.879610988942918,0.709297250109123,0.901423410455114,161435,143107,18328,0.797156807386986,90321,0.402638832966829,1.19563408666498,3,0,0,0,0,0,0,0,0,0
"45",50,1.000114298777,1.57894736842105,0.929606359789717,34996,31196,3800,0.921375921375921,19536,0.342896331009258,1.25063953157865,4,0,1,1,0,0,0,1,0,1
"46",51,0.698339368515638,0.855047989568415,0.678130564943406,409543,362762,46781,0.718572998562854,212922,0.288126033163795,0.929024452307677,2,0,0,0,0,0,0,0,0,1
"47",53,0.954745694833801,0.718962639619977,0.988359323522952,312125,273180,38945,0.908871273915394,173842,0.333199839807769,1.14821181956489,3,0,1,0,0,0,0,0,0,0
"48",54,1.11802743699764,1.2246820536976,1.1052590027857,99282,88667,10615,1.07854805117525,53776,0.513688281863782,1.5391073177557,4,1,1,1,1,0,1,1,1,1
"49",55,1.18230524632396,1.2615763970525,1.1726561709286,321406,286529,34877,1.11972001372923,177723,0.50092406488989,1.39436811318188,4,1,1,1,1,1,1,1,1,1
"50",56,1.31259434271838,1.22286762457964,1.32338345035474,30474,27203,3271,1.35103383458647,17024,0.295333727111636,1.59619519186918,5,1,1,1,1,1,1,1,1,1
